image_size,batch,status,latency_s,memory_bytes,energy_j,mean_power_w,predicted_memory_bytes,is_validation,warmup_repeats,latency_repeats,energy_repeats,energy_duration_s,power_samples,power_unique_values,error
64,64,ok,0.0017455560000030346,33703936.0,0.12809622713683974,67.99136842105263,24104256.0,0,10,7,1719,3.238608364000015,95,29,
64,102,ok,0.004684383000039816,63670272.0,0.31811925340390745,67.87686363636364,35933504.0,0,10,7,641,3.004181845000005,88,28,
64,128,ok,0.005589407000002211,76721152.0,0.3920783922843524,67.92260227272726,44027200.0,1,10,7,537,3.0997943190000115,88,24,
64,178,ok,0.008061152999971455,100550656.0,0.5430929616782428,67.177,59592000.0,0,10,7,373,3.015521304999993,84,26,
64,244,ok,0.010871333000011418,133915136.0,0.743215197848966,67.53108045977014,80137536.0,0,10,7,276,3.037525732000006,87,22,
64,256,ok,0.011053698000011991,138400768.0,0.74622388254832,67.35598837209301,83873088.0,0,10,7,272,3.0134350479999625,86,23,
128,1,ok,0.000985705000005055,24438272.0,0.06227882381381029,67.24854761904761,5426496.0,0,10,7,3044,2.8190458589999707,84,24,
128,2,ok,0.0008233489999724952,17820672.0,0.056388848170350774,66.793,6671680.0,1,10,7,3644,3.0763846920000333,92,29,
128,4,ok,0.0008437660000026881,19525632.0,0.055520479804930065,68.32457831325301,9162048.0,0,10,7,3556,2.8896018249999997,83,28,
128,8,ok,0.0010242289999951026,23851520.0,0.07501092257400098,67.3630206185567,14142784.0,0,10,7,2930,3.2626506519999907,97,29,
128,16,ok,0.0016910780000216619,33684992.0,0.12685516964128574,66.72739393939395,24104256.0,0,10,7,1775,3.3744450789999973,99,25,
128,32,ok,0.0035956429999828288,53614080.0,0.24841151994817687,67.14407692307694,44027200.0,0,10,7,835,3.0892318229999773,91,27,
128,64,ok,0.007050241999991158,119367680.0,0.46723654755335897,66.98241379310345,83873088.0,1,10,7,426,2.9715675799999985,87,19,
128,102,ok,0.015449708000005558,192553984.0,1.0716090841385348,67.97132954545454,131190080.0,0,10,7,195,3.0742928349999943,88,24,
128,128,ok,0.01870656399995596,223595520.0,1.2987086445207294,68.18548275862068,163564864.0,0,10,7,161,3.0665191960000016,87,22,
128,178,ok,0.02678468400000611,320797696.0,1.8529662378022596,68.84453488372094,225824064.0,0,10,7,113,3.041420575000018,86,23,
128,244,ok,0.03697587099998145,425230848.0,2.5421131844478744,68.61440963855424,308006208.0,0,10,7,82,3.0380394179999826,83,24,
128,256,ok,0.037945223000008355,432051200.0,2.6222594836170168,68.64230120481929,322948416.0,1,10,7,80,3.0561440250000373,83,26,
160,1,ok,0.0009477290000177163,24770048.0,0.06725047956508777,69.08846666666665,6126912.0,0,10,7,3166,3.081773682000005,90,30,
160,2,ok,0.0008331569999882049,18779136.0,0.060786056902644256,69.23645161290322,8072512.0,0,10,7,3601,3.161493488000019,93,30,
160,4,ok,0.0008468980000202464,21539840.0,0.06187278543496404,67.361,11963712.0,0,10,7,3543,3.254335279999964,96,26,
160,8,ok,0.0014187840000090546,29323776.0,0.10767555142616354,66.57609278350515,19746112.0,0,10,7,2115,3.4206541980000225,97,32,
160,16,ok,0.0026855030000092484,44891648.0,0.20356273609791284,67.36965306122448,35310912.0,1,10,7,1118,3.3781254410000088,98,27,
160,32,ok,0.005797620999999253,78386688.0,0.3852511596742758,67.29667073170731,66440512.0,0,10,7,518,2.965378503000011,82,29,
160,64,ok,0.010282870000025923,177981440.0,0.7050537946991049,69.28049411764707,128699712.0,0,10,7,292,2.9716258619999962,85,22,
160,102,ok,0.025781084000016108,291015680.0,1.795710153493685,68.25642857142856,202632512.0,0,10,7,117,3.0780703350000067,84,22,
160,128,ok,0.03062671399999317,342010880.0,2.119107385656236,68.18941860465115,253218112.0,0,10,7,98,3.045524188999991,86,17,
160,178,ok,0.04479729099995211,490757120.0,3.0852992613559596,68.5734625,350498112.0,1,10,7,67,3.014505071999963,80,29,
160,244,ok,0.061451229999988755,656597504.0,4.218387198296688,68.59408974358973,478907712.0,0,10,7,49,3.0133933330000104,78,27,
160,256,ok,0.06381597999995847,668169216.0,4.386196722545779,68.65769135802469,502254912.0,0,10,7,48,3.0664800769999943,81,29,
192,1,ok,0.0009456319999685547,18033152.0,0.06015421867750252,68.08483132530122,6982976.0,0,10,7,3173,2.8034046959999728,83,29,
192,2,ok,0.0008971980000183066,19950592.0,0.0553664155018253,67.63501265822785,9784640.0,0,10,7,3344,2.7374178869999923,79,27,
